Fiscal Year,Quarter,Reported Revenue (Billions USD),Non-GAAP EPS (USD),Non-GAAP Operating Margin
FY26,Q1,$9.83,$2.58,32.30%
FY26,Q2,$10.20,$2.91,34.30%
FY26,Q3,$10.30,$3.25,35.50%
FY26,Q4,$11.20,$3.81,34.20%
FY26,Full Year,$41.53,—,34.10%
FY25,Q1,$9.13,$2.44,32.10%
FY25,Q2,$9.33,$2.56,33.70%
FY25,Q3,$9.44,$2.41,33.10%
FY25,Q4,$10.00,$2.27,32.50%
FY25,Full Year,$37.90,$9.68,33.00%
FY24,Q1,$8.25,$1.69,27.60%
FY24,Q2,$8.60,$2.12,31.60%
FY24,Q3,$8.72,$2.11,31.20%
FY24,Q4,$9.29,$2.29,31.40%
FY24,Full Year,$34.86,$8.22,30.50%
FY23,Q1,$7.41,$0.98,17.60%
FY23,Q2,$7.72,$1.19,19.90%
FY23,Q3,$7.84,$1.40,22.70%
FY23,Q4,$8.38,$1.68,29.20%
FY23,Full Year,$31.40,$5.24,22.50%
