Type,Fiscal Year,Quarter,Guidance Issued,Revenue Low ($B),Revenue High ($B),Non-GAAP Diluted EPS Low ($),Non-GAAP Diluted EPS High ($),Non-GAAP Operating Margin (%),cRPO Growth (%),OCF Growth (%),Notes
Quarterly,FY2026,Q1,Q4 FY2025 (Feb 2025),9.71,9.76,2.53,2.55,,~10,,
Quarterly,FY2026,Q2,Q1 FY2026 (May 2025),10.11,10.16,2.76,2.78,,~9,,
Quarterly,FY2026,Q3,Q2 FY2026 (Sep 2025),10.24,10.29,2.84,2.86,,~10,,Slightly above 10% cRPO growth
Quarterly,FY2026,Q4,Q3 FY2026 (Dec 2025),11.13,11.23,3.02,3.04,,~15,,
Full-Year,FY2026,,Q4 FY2025 (Feb 2025),40.50,40.90,11.09,11.17,34.0,,~10-11,Initial guidance
Full-Year,FY2026,,Q1 FY2026 (May 2025),41.00,41.30,11.27,11.33,34.0,,~10-11,Raised after Q1
Full-Year,FY2026,,Q2 FY2026 (Sep 2025),41.10,41.30,11.33,11.37,34.1,,~12-13,Raised after Q2
Full-Year,FY2026,,Q3 FY2026 (Dec 2025),41.45,41.55,11.75,11.77,34.1,,~13-14,Raised after Q3
Quarterly,FY2027,Q1,Q4 FY2026 (Feb 2026),11.03,11.08,3.11,3.13,,~14,,
Full-Year,FY2027,,Q4 FY2026 (Feb 2026),45.80,46.20,13.11,13.19,34.3,~10-12,~9-10,Initial guidance; includes ~3pp from Informatica acquisition
