Fiscal Year,Quarter,Total Revenue,Subscription and Support Revenue,Professional Services and Other Revenue,Gross Profit,Income from Operations,Net Income,Basic EPS,Diluted EPS,Current RPO (billions),Total RPO (billions),Operating Cash Flow
FY2023,Q1,7411,6856,555,5366,20,28,0.03,0.03,,,3676
FY2023,Q2,7720,7143,577,5593,193,68,0.07,0.07,,,334
FY2023,Q3,7837,7233,604,5749,460,210,0.21,0.21,20.9,40.8,313
FY2023,Q4,8384,7789,595,6284,357,-98,-0.10,-0.10,,2788
FY2024,Q1,8247,7642,605,6122,412,199,0.20,0.20,24.1,46.7,4491
FY2024,Q2,8603,8006,597,6490,1476,1267,1.30,1.28,,,808
FY2024,Q3,8720,8141,579,6565,1501,1224,1.26,1.25,23.9,48.3,1532
FY2024,Q4,9287,8748,539,7139,1622,1446,1.49,1.47,,,3403
FY2025,Q1,9133,8585,548,6971,1709,1533,1.58,1.56,26.4,53.9,6247
FY2025,Q2,9325,8764,561,7166,1783,1429,1.48,1.47,,,892
FY2025,Q3,9444,8879,565,7339,1893,1527,1.60,1.58,26.4,53.1,1983
FY2025,Q4,9993,9451,542,7776,1820,1708,1.78,1.75,,63.4,3970
FY2026,Q1,9829,9297,532,7564,1942,1541,1.61,1.59,29.6,,6476
FY2026,Q2,10236,9690,546,7994,2332,1887,1.97,1.96,,,740
FY2026,Q3,10259,9726,533,8004,2188,2086,2.20,2.19,29.4,59.5,2316
FY2026,Q4,11201,10675,526,8693,1869,1943,2.08,2.07,35.1,72.4,5464
